순위,제목,가수,장르
1,추적이는 여름 비가 되어,장범준,발라드(국내)
2,Butter,방탄소년단,댄스(국내)
3,헤픈 우연,헤이즈 (Heize),발라드(국내)
4,Next Level,aespa,댄스(국내)
5,Alcohol-Free,TWICE(트와이스),댄스(국내)
6,Dun Dun Dance,오마이걸(OH MY GIRL),댄스(국내)
7,롤린 (Rollin'),브레이브걸스(Brave Girls),댄스(국내)
8,안녕 (Hello),조이 (JOY),록/포크(국내)
9,Peaches (Feat Daniel Caesar & Giveon),Justin Bieber,POP / 팝
10,라일락,아이유(IU),댄스(국내)
11,상상더하기,MSG워너비 TOP 8 (별루지 & 김정수 & 강창모 & 정기석 & 이동휘 & 이상이 & 박재정 & 원슈타인),가요 / 댄스
12,운전만해 (We Ride),브레이브걸스(Brave Girls),댄스(국내)
13,Celebrity,아이유(IU),댄스(국내)
14,Dynamite,방탄소년단,댄스(국내)
15,ASAP,STAYC(스테이씨),댄스(국내)
16,상상더하기,라붐(LABOUM),댄스(국내)
17,Timeless,SG워너비,발라드(국내)
18,내 입술 따뜻한 커피처럼,청하 & Colde (콜드),가요 / 발라드
19,내 손을 잡아,아이유(IU),OST
20,마피아 In the morning,ITZY(있지),힙합(국내)
21,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,POP / 팝
22,At My Worst,Pink Sweat$,R&B
23,사이렌 Remix (Feat UNEDUCATED KID & Paul Blanco),호미들,가요 / 랩/힙합
24,Coin,아이유(IU),발라드(국내)
25,라라라,SG워너비,록/포크(국내)
26,체념,정상동기 (김정수 & 정기석 & 이동휘 & 이상이),가요 / 발라드
27,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,가요 / 댄스
28,Blueming,아이유(IU),록/포크(국내)
29,작은 것들을 위한 시 (Boy With Luv) (Feat Halsey),방탄소년단,발라드(국내)
30,에잇 (Prod & Feat SUGA of BTS),아이유 (IU),가요 / 락
31,밝게 빛나는 별이 되어 비춰줄게,송이한,가요 / 인디
32,멜로디,ASH ISLAND,힙합(국내)
33,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,장범준
34,Off My Face,Justin Bieber,POP
35,2002,Anne-Marie,POP
36,12:45 (Stripped),Etham,POP
37,어푸 (Ah puh),아이유(IU),댄스(국내)
38,밤하늘의 별을 (2020),경서,발라드(국내)
39,Dolphin,오마이걸(OH MY GIRL),댄스(국내)
40,잠이 오질 않네요,장범준,발라드(국내)
41,그냥 안아달란 말야,다비치,발라드(국내)
42,VVS (Feat JUSTHIS) (Prod by GroovyRoom),미란이 (Mirani) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM),가요 / 랩/힙합
43,Life Goes On,방탄소년단,힙합(국내)
44,이제 나만 믿어요,임영웅,트로트(국내)
45,METEOR,창모(CHANGMO),힙합(국내)
46,처음처럼 (Feat 개리),헤이즈 (Heize),발라드(국내)
47,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,OST
48,봄날,방탄소년단,힙합(국내)
49,Lovesick Girls,BLACKPINK,댄스(국내)
50,On The Ground,로제 (ROSE),가요 / 락
51,취기를 빌려 (취향저격 그녀 X 산들),산들,발라드(국내)
52,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),발라드(국내)
53,아로하,조정석,OST
54,좋을텐데 (If Only) (Feat 폴킴),조이 (JOY),발라드(국내)
55,오래된 노래,Standing Egg (스탠딩 에그),가요 / 발라드
56,Leave The Door Open,Bruno Mars & Anderson .Paak & Silk Sonic,POP / R&B/소울
57,벌써일년,반하나 & MJ (써니사이드),가요 / 발라드
58,parachute,John K,POP
59,내사람 : Partner For Life,SG워너비,가요 / 발라드
60,실버판테온,장범준,록/포크(국내)
61,살짝 설렜어 (Nonstop),오마이걸(OH MY GIRL),댄스(국내)
62,너의 발걸음에 빛을 비춰줄게 (Prod by 조영수),케이시 (Kassy),가요 / 발라드
63,사이렌,호미들,힙합(국내)
64,Memories,Maroon 5,POP
65,다정히 내 이름을 부르면,경서예지 & 전건호,가요 / 발라드
66,Dance Monkey,Tones And I,ROCK/FOLK
67,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,OST
68,만약에,M.O.M (별루지 & 강창모 & 박재정 & 원슈타인),가요 / 발라드
69,우린 어쩌다 헤어진 걸까,허각,발라드(국내)
70,너의 모든 순간,성시경,발라드(국내)
71,오늘도 빛나는 너에게 (To You My Light) (Feat 이라온),마크툽(Maktub),발라드(국내)
72,살다가,SG워너비,발라드(국내)
73,맛 (Hot Sauce),NCT DREAM,힙합(국내)
74,Don't Start Now,Dua Lipa,POP
75,Bad Boy,청하 & Christopher,POP / 팝
76,비도 오고 그래서 (Feat 신용재),헤이즈 (Heize),힙합(국내)
77,Don't fight the feeling,EXO,댄스(국내)
78,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,OST
79,그날에 나는 맘이 편했을까,이예준,발라드(국내)
80,안녕,폴킴,OST
81,I Love U,성시경,발라드(국내)
82,밤하늘의 저 별처럼,헤이즈 (Heize) & 펀치 (Punch),OST / 드라마
83,밤편지,아이유(IU),발라드(국내)
84,너의 번호를 누르고 (Prod by 영화처럼),#안녕,가요 / 인디
85,늦은 밤 너의 집 앞 골목길에서,노을,발라드(국내)
86,추억은 만남보다 이별에 남아,정동하,발라드(국내)
87,마음을 드려요,아이유(IU),OST
88,Paris In The Rain,Lauv,POP
89,시작,가호 (Gaho),OST
90,어떻게 지내 (Prod By VANC),오반(OVAN),힙합(국내)
91,Love poem,아이유(IU),발라드(국내)
92,힘든 건 사랑이 아니다,임창정,발라드(국내)
93,고백 (바른연애 길잡이 X 허각),허각,OST
94,Bad,Christopher,POP
95,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현(KYUHYUN),발라드(국내)
96,별빛 같은 나의 사랑아,임영웅,트로트(국내)
97,ON,방탄소년단,발라드(국내)
98,봄 안녕 봄,아이유(IU),발라드(국내)
99,Way Back Home,숀(SHAUN),댄스(국내)
100,Je T'aime,조이 (JOY),발라드(국내)
