순위,제목,가수,장르
1,Butter,방탄소년단,댄스(국내)
2,헤픈 우연,헤이즈 (Heize),발라드(국내)
3,Next Level,aespa,댄스(국내)
4,Dun Dun Dance,오마이걸(OH MY GIRL),댄스(국내)
5,Peaches (Feat Daniel Caesar & Giveon),Justin Bieber,POP / 팝
6,롤린 (Rollin'),브레이브걸스(Brave Girls),댄스(국내)
7,라일락,아이유(IU),댄스(국내)
8,Celebrity,아이유(IU),댄스(국내)
9,운전만해 (We Ride),브레이브걸스(Brave Girls),댄스(국내)
10,ASAP,STAYC(스테이씨),댄스(국내)
11,Dynamite,방탄소년단,댄스(국내)
12,상상더하기,"MSG워너비 TOP 8(별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",댄스(국내)
13,상상더하기,라붐(LABOUM),댄스(국내)
14,안녕 (Hello),조이 (JOY),록/포크(국내)
15,Timeless,SG워너비,발라드(국내)
16,"사이렌 Remix (Feat UNEDUCATED KID, Paul Blanco)",호미들,힙합(국내)
17,Alcohol-Free,TWICE(트와이스),댄스(국내)
18,내 손을 잡아,아이유(IU),OST
19,멜로디,ASH ISLAND,힙합(국내)
20,밝게 빛나는 별이 되어 비춰줄게,송이한,가요 / 인디
21,마피아 In the morning,ITZY(있지),힙합(국내)
22,라라라,SG워너비,록/포크(국내)
23,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,가요 / 댄스
24,밤하늘의 별을 (2020),경서,발라드(국내)
25,내사람 (Partner For Life),SG워너비,발라드(국내)
26,Coin,아이유(IU),발라드(국내)
27,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,POP / 팝
28,On The Ground,로제 (ROSÉ),록/포크(국내)
29,Lovesick Girls,BLACKPINK,댄스(국내)
30,Dolphin,오마이걸(OH MY GIRL),댄스(국내)
31,잠이 오질 않네요,장범준,발라드(국내)
32,Blueming,아이유(IU),록/포크(국내)
33,에잇 (Prod & Feat SUGA of BTS),아이유 (IU),가요 / 락
34,취기를 빌려 (취향저격 그녀 X 산들),산들,발라드(국내)
35,VVS (Feat JUSTHIS) (Prod by GroovyRoom),미란이 (Mirani) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM),가요 / 랩/힙합
36,어푸 (Ah puh),아이유(IU),댄스(국내)
37,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),발라드(국내)
38,작은 것들을 위한 시 (Boy With Luv) (Feat Halsey),방탄소년단,발라드(국내)
39,추억은 만남보다 이별에 남아,정동하,발라드(국내)
40,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,OST
41,12:45 (Stripped),Etham,POP
42,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,장범준
43,2002,Anne-Marie,POP
44,그날에 나는 맘이 편했을까,이예준,발라드(국내)
45,Life Goes On,방탄소년단,힙합(국내)
46,Off My Face,Justin Bieber,POP
47,그냥 안아달란 말야,다비치,발라드(국내)
48,METEOR,창모(CHANGMO),힙합(국내)
49,봄날,방탄소년단,힙합(국내)
50,오래된 노래,스탠딩 에그(Standing Egg),록/포크(국내)
51,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,OST
52,체념,"정상동기(김정수, 정기석, 이동휘, 이상이)",댄스(국내)
53,Memories,Maroon 5,POP
54,살짝 설렜어 (Nonstop),오마이걸(OH MY GIRL),댄스(국내)
55,아로하,조정석,OST
56,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,OST
57,너의 번호를 누르고 (Prod by 영화처럼),#안녕,가요 / 인디
58,어떻게 지내 (Prod By VANC),오반(OVAN),힙합(국내)
59,오늘도 빛나는 너에게 (To You My Light) (Feat 이라온),마크툽(Maktub),발라드(국내)
60,사실 나는 (Feat전건호),경서예지,발라드(국내)
61,살다가,SG워너비,발라드(국내)
62,힘든 건 사랑이 아니다,임창정,발라드(국내)
63,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),발라드(국내)
64,How You Like That,BLACKPINK,댄스(국내)
65,늦은 밤 너의 집 앞 골목길에서,노을,발라드(국내)
66,Dance Monkey,Tones And I,ROCK/FOLK
67,추적이는 여름 비가 되어,장범준,발라드(국내)
68,이제 나만 믿어요,임영웅,트로트(국내)
69,너의 발걸음에 빛을 비춰줄게 (Prod 조영수),케이시(Kassy),발라드(국내)
70,마음을 드려요,아이유(IU),OST
71,Love poem,아이유(IU),발라드(국내)
72,If You Love Me (Feat 주헌 (몬스타엑스)),NS 윤지,댄스(국내)
73,Paris In The Rain,Lauv,POP
74,아이와 나의 바다,아이유(IU),발라드(국내)
75,너를 만나,폴킴,발라드(국내)
76,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현(KYUHYUN),발라드(국내)
77,When We Disco (Duet with 선미),박진영,댄스(국내)
78,내 입술 따뜻한 커피처럼,청하 & Colde (콜드),가요 / 발라드
79,만약에,"M.O.M(별루지, 강창모, 박재정, 원슈타인)",댄스(국내)
80,시작,가호 (Gaho),OST
81,고백 (바른연애 길잡이 X 허각),허각,OST
82,함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드),가요 / 발라드
83,Don't Start Now,Dua Lipa,POP
84,우리 왜 헤어져야 해,신예영,발라드(국내)
85,우린 어쩌다 헤어진 걸까,허각,발라드(국내)
86,기다릴게 (Inst),하동균 & 봉구 (길구봉구),가요 / 발라드
87,봄 안녕 봄,아이유(IU),발라드(국내)
88,Downtown Baby,블루(BLOO),힙합(국내)
89,Maniac,Conan Gray,POP
90,처음처럼 (Feat 개리),헤이즈 (Heize),발라드(국내)
91,맛 (Hot Sauce),NCT DREAM,힙합(국내)
92,내일이 오면 (Feat 기리보이 & BIG Naughty (서동현)),릴보이 (lIlBOI),가요 / 랩/힙합
93,안녕,폴킴,OST
94,거짓말이라도 해서 널 보고싶어,백지영,발라드(국내)
95,서면역에서,순순희,발라드(국내)
96,서울의 잠 못 이루는 밤 (Feat 이수현),10CM,발라드(국내)
97,벌써일년,반하나 & MJ (써니사이드),가요 / 발라드
98,Don't fight the feeling,EXO,댄스(국내)
99,Je T'aime,조이 (JOY),재즈 / 정통
100,I Love U,성시경,발라드(국내)
